"y1","y2","age","oficio","relab","college","cotPension","fweight","formal","hoursWorkUsual","sex","depto","clase","maxEducLevel","dsi","p6426","p6580s1","sizeFirm","wap","female","sqage","agefemale","sqagefemale"
8404.3203125,1840833.33333333,36,"Almacenistas, bodegueros,   auxiliar administrativo, recepcionistas, empleados de oficinas de viajes,   empleados de biblioteca y archivo, auxiliar de importaciones, exportaciones,   tramitador de documentos, auxiliar de seguros varios, de vida y   automotores","Obrero o empleado del gobierno;","Universidad","Cotiza",255,"formal",45,1,11,"Urban","secondary complete (11)","Otra cosa",166,0,">50","Poblacion en edad de trabajar","Hombre",1296,0,0
6703.3427734375,1878973.33333333,51,"Electricistas de vivienda y   automotriz, instalador y reparador de teléfonos y contadores","Obrero o empleado de empresa particular;","No universidad","Cotiza",194,"formal",48,1,11,"Urban","terciary","Otra cosa",12,0,"6-10 workers","Poblacion en edad de trabajar","Hombre",2601,0,0
3680.65405273438,883357,45,"Vendedores, ambulantes, a   domicilio, de loterías y periódicos, mercaderistas","Obrero o empleado de empresa particular;","No universidad","Cotiza",243,"formal",56,1,11,"Urban","primary complete (5)","Otra cosa",15,0,"2-5 workers","Poblacion en edad de trabajar","Hombre",2025,0,0
4083.33325195312,1200000,61,"Cocineros, camareros,   barman, meseros","Obrero o empleado de empresa particular;","No universidad","No cotiza",230,"informal",40,1,11,"Urban","primary incomplete (1-4)","Otra cosa",120,0,"11-50","Poblacion en edad de trabajar","Hombre",3721,0,0
9437.84765625,1941500,35,"Docentes","Obrero o empleado del gobierno;","No universidad","Cotiza",342,"formal",48,0,11,"Urban","terciary","Otra cosa",24,0,">50","Poblacion en edad de trabajar","Mujer",1225,35,1225
6317.5,1083000,35,"Jefes de ventas,   compradores","Obrero o empleado de empresa particular;","Universidad","Cotiza",352,"formal",40,0,11,"Urban","secondary complete (11)","Otra cosa",36,0,">50","Poblacion en edad de trabajar","Mujer",1225,35,1225
8571.46484375,1716333.33333333,39,"Auxiliar de contabilidad,   cajeros, empleados de bancos","Obrero o empleado de empresa particular;","No universidad","Cotiza",352,"formal",44,1,11,"Urban","terciary","Otra cosa",94,0,">50","Poblacion en edad de trabajar","Hombre",1521,0,0
3366.04931640625,779000,29,"Vendedores, ambulantes, a   domicilio, de loterías y periódicos, mercaderistas","Obrero o empleado de empresa particular;","Universidad","Cotiza",429,"formal",54,1,11,"Urban","secondary complete (11)","Otra cosa",24,0,"2-5 workers","Poblacion en edad de trabajar","Hombre",841,0,0
3990.27709960938,820857,56,"Guardián de edificio,   portero, sacristán, aseador, limpia ventanas, deshollinador","Obrero o empleado de empresa particular;","No universidad","Cotiza",348,"formal",48,0,11,"Urban","primary complete (5)","Otra cosa",30,0,">50","Poblacion en edad de trabajar","Mujer",3136,56,3136
5146.94482421875,1226333.41666667,23,"Almacenistas, bodegueros,   auxiliar administrativo, recepcionistas, empleados de oficinas de viajes,   empleados de biblioteca y archivo, auxiliar de importaciones, exportaciones,   tramitador de documentos, auxiliar de seguros varios, de vida y   automotores","Obrero o empleado de empresa particular;","No universidad","Cotiza",243,"formal",40,1,11,"Urban","terciary","Otra cosa",51,0,">50","Poblacion en edad de trabajar","Hombre",529,0,0
4104.10302734375,1237806.66666667,30,"Cocineros, camareros,   barman, meseros","Obrero o empleado de empresa particular;","Universidad","Cotiza",243,"formal",54,1,11,"Urban","secondary complete (11)","Otra cosa",8,0,"6-10 workers","Poblacion en edad de trabajar","Hombre",900,0,0
4617.11572265625,949806.666666667,28,"Almacenistas, bodegueros,   auxiliar administrativo, recepcionistas, empleados de oficinas de viajes,   empleados de biblioteca y archivo, auxiliar de importaciones, exportaciones,   tramitador de documentos, auxiliar de seguros varios, de vida y   automotores","Obrero o empleado de empresa particular;","No universidad","Cotiza",255,"formal",48,1,11,"Urban","terciary","Otra cosa",24,0,">50","Poblacion en edad de trabajar","Hombre",784,0,0
4375,310000,36,"Carteros y mensajeros","Obrero o empleado de empresa particular;","Universidad","No cotiza",259,"informal",16,1,11,"Urban","secondary complete (11)","Otra cosa",36,0,"2-5 workers","Poblacion en edad de trabajar","Hombre",1296,0,0
7736.45849609375,1591500,33,"Almacenistas, bodegueros,   auxiliar administrativo, recepcionistas, empleados de oficinas de viajes,   empleados de biblioteca y archivo, auxiliar de importaciones, exportaciones,   tramitador de documentos, auxiliar de seguros varios, de vida y   automotores","Obrero o empleado de empresa particular;","No universidad","Cotiza",201,"formal",48,0,11,"Urban","terciary","Otra cosa",24,0,"6-10 workers","Poblacion en edad de trabajar","Mujer",1089,33,1089
3868.87915039062,795883.666666667,38,"Carteros y mensajeros","Obrero o empleado de empresa particular;","Universidad","Cotiza",201,"formal",48,1,11,"Urban","secondary complete (11)","Otra cosa",96,0,">50","Poblacion en edad de trabajar","Hombre",1444,0,0
5617.2841796875,1083333.33333333,51,"Guardián de edificio,   portero, sacristán, aseador, limpia ventanas, deshollinador","Obrero o empleado de empresa particular;","Universidad","Cotiza",243,"formal",45,0,11,"Urban","secondary complete (11)","Otra cosa",72,0,"11-50","Poblacion en edad de trabajar","Mujer",2601,51,2601
17662.037109375,3633333.33333333,43,"Directores, gerentes   (personal directivo)","Obrero o empleado de empresa particular;","No universidad","Cotiza",145,"formal",48,1,11,"Urban","terciary","Otra cosa",24,0,">50","Poblacion en edad de trabajar","Hombre",1849,0,0
9682.205078125,1659806.66666667,41,"Secretarias, mecanógrafas,   taquígrafos, teletípistas, operadores de máquinas perforadoras de tarjetas y   cintas","Obrero o empleado del gobierno;","Universidad","Cotiza",254,"formal",40,0,11,"Urban","secondary complete (11)","Otra cosa",48,0,">50","Poblacion en edad de trabajar","Mujer",1681,41,1681
4019.57348632812,826883.666666667,31,"Manipulación de mercancía y   movimiento de tierras – Estibadores, cargadores, empacadores, empalmador de   cables, conductor de grúa, operarios de maquinaria pesada","Obrero o empleado de empresa particular;","Universidad","Cotiza",288,"formal",48,0,11,"Urban","secondary complete (11)","Otra cosa",24,0,"11-50","Poblacion en edad de trabajar","Mujer",961,31,961
4014.30737304688,825800.333333333,36,"Conductores de vehículos de   transporte, taxistas, choferes","Obrero o empleado de empresa particular;","No universidad","Cotiza",288,"formal",48,1,11,"Urban","secondary incomplete (6-10)","Otra cosa",156,0,"11-50","Poblacion en edad de trabajar","Hombre",1296,0,0
4425.23193359375,910333.416666667,50,"Guardián de edificio,   portero, sacristán, aseador, limpia ventanas, deshollinador","Obrero o empleado de empresa particular;","Universidad","Cotiza",235,"formal",48,0,11,"Urban","secondary complete (11)","Otra cosa",108,0,">50","Poblacion en edad de trabajar","Mujer",2500,50,2500
5284.02783203125,1087000,42,"Empleada doméstica, niñera,   dama de compañía, camarera","Empleado doméstico;","Universidad","Cotiza",331,"formal",48,0,11,"Urban","secondary complete (11)","Otra cosa",12,0,"self-employed","Poblacion en edad de trabajar","Mujer",1764,42,1764
7777.77783203125,1500000,45,"Conductores de vehículos de   transporte, taxistas, choferes","Obrero o empleado de empresa particular;","No universidad","Cotiza",331,"formal",45,1,11,"Urban","primary complete (5)","Otra cosa",70,0,"6-10 workers","Poblacion en edad de trabajar","Hombre",2025,0,0
3056.66674804688,786000,20,"Albañiles, estucador,   cristaleros, mampostero, techadores, carpintero","Obrero o empleado de empresa particular;","No universidad","Cotiza",331,"formal",60,1,11,"Urban","terciary","Otra cosa",4,0,">50","Poblacion en edad de trabajar","Hombre",400,0,0
6237.486328125,1283140,49,"Bomberos, agentes de   policía, detective público y privado, vigilante, guardián de prisiones","Obrero o empleado de empresa particular;","Universidad","Cotiza",263,"formal",48,1,11,"Urban","secondary complete (11)","Otra cosa",36,0,"11-50","Poblacion en edad de trabajar","Hombre",2401,0,0
7406.33349609375,1333140,27,"Auxiliar de contabilidad,   cajeros, empleados de bancos","Obrero o empleado de empresa particular;","No universidad","Cotiza",255,"formal",42,1,11,"Urban","terciary","Otra cosa",12,0,">50","Poblacion en edad de trabajar","Hombre",729,0,0
17791.666015625,3050000,24,"Jefes de empleados de   oficinas, supervisor de encuestas","Obrero o empleado de empresa particular;","No universidad","Cotiza",132,"formal",40,0,11,"Urban","terciary","Otra cosa",12,0,"11-50","Poblacion en edad de trabajar","Mujer",576,24,576
6342.59228515625,2283333.33333333,47,"Bibliotecarios, archivistas,   encargados de museos, sociólogos, antropólogos, trabajadores de asistencia   social, filólogos, traductores, interpretes, psicólogos, sociólogo, lector de   cartas","Obrero o empleado de empresa particular;","No universidad","Cotiza",132,"formal",84,0,11,"Urban","terciary","Otra cosa",3,0,">50","Poblacion en edad de trabajar","Mujer",2209,47,2209
5444.4443359375,350000,21,"Jefes de ventas,   compradores","Obrero o empleado de empresa particular;","No universidad","No cotiza",235,"informal",15,1,11,"Urban","terciary","Otra cosa",1,0,"6-10 workers","Poblacion en edad de trabajar","Hombre",441,0,0
3990.27709960938,820857,29,"Guardián de edificio,   portero, sacristán, aseador, limpia ventanas, deshollinador","Obrero o empleado de empresa particular;","Universidad","No cotiza",263,"informal",48,1,11,"Urban","secondary complete (11)","Otra cosa",18,0,"2-5 workers","Poblacion en edad de trabajar","Hombre",841,0,0
6304.75,1513140,35,"Conductores de vehículos de   transporte, taxistas, choferes","Obrero o empleado de empresa particular;","No universidad","Cotiza",250,"formal",56,1,11,"Urban","primary complete (5)","Otra cosa",38,0,">50","Poblacion en edad de trabajar","Hombre",1225,0,0
4289.12109375,882333.416666667,56,"Guardián de edificio,   portero, sacristán, aseador, limpia ventanas, deshollinador","Obrero o empleado de empresa particular;","Universidad","Cotiza",250,"formal",48,0,11,"Urban","secondary complete (11)","Otra cosa",142,0,">50","Poblacion en edad de trabajar","Mujer",3136,56,3136
6197.91650390625,1275000,53,"Vendedores, ambulantes, a   domicilio, de loterías y periódicos, mercaderistas","Obrero o empleado de empresa particular;","Universidad","Cotiza",201,"formal",48,0,11,"Urban","secondary complete (11)","Otra cosa",112,0,">50","Poblacion en edad de trabajar","Mujer",2809,53,2809
7899.3056640625,1625000,23,"Almacenistas, bodegueros,   auxiliar administrativo, recepcionistas, empleados de oficinas de viajes,   empleados de biblioteca y archivo, auxiliar de importaciones, exportaciones,   tramitador de documentos, auxiliar de seguros varios, de vida y   automotores","Obrero o empleado de empresa particular;","No universidad","Cotiza",201,"formal",48,0,11,"Urban","terciary","Otra cosa",8,0,">50","Poblacion en edad de trabajar","Mujer",529,23,529
3908.8427734375,820857,41,"Guardián de edificio,   portero, sacristán, aseador, limpia ventanas, deshollinador","Obrero o empleado de empresa particular;","Universidad","Cotiza",243,"formal",49,1,11,"Urban","secondary complete (11)","Otra cosa",2,0,"6-10 workers","Poblacion en edad de trabajar","Hombre",1681,0,0
3990.27709960938,820857,32,"Secretarias, mecanógrafas,   taquígrafos, teletípistas, operadores de máquinas perforadoras de tarjetas y   cintas","Obrero o empleado de empresa particular;","Universidad","No cotiza",338,"informal",48,0,11,"Urban","secondary complete (11)","Otra cosa",5,0,">50","Poblacion en edad de trabajar","Mujer",1024,32,1024
3333.33325195312,1550000,62,"Almacenistas, bodegueros,   auxiliar administrativo, recepcionistas, empleados de oficinas de viajes,   empleados de biblioteca y archivo, auxiliar de importaciones, exportaciones,   tramitador de documentos, auxiliar de seguros varios, de vida y   automotores","Obrero o empleado de empresa particular;","No universidad","No cotiza",234,"informal",84,1,11,"Urban","primary complete (5)","Otra cosa",1,0,"2-5 workers","Poblacion en edad de trabajar","Hombre",3844,0,0
8230.5419921875,1693140,24,"Ajustadores, montadores e   instaladores de maquinaria e instrumentos de precisión, relojeros y   mecánicos","Obrero o empleado de empresa particular;","No universidad","Cotiza",327,"formal",48,1,11,"Urban","terciary","Otra cosa",1,0,">50","Poblacion en edad de trabajar","Hombre",576,0,0
24500,3150000,43,"Docentes","Obrero o empleado del gobierno;","No universidad","Cotiza",219,"formal",30,0,11,"Urban","terciary","Otra cosa",144,0,">50","Poblacion en edad de trabajar","Mujer",1849,43,1849
22750,2925000,55,"Docentes","Obrero o empleado del gobierno;","No universidad","Cotiza",219,"formal",30,1,11,"Urban","terciary","Otra cosa",144,0,">50","Poblacion en edad de trabajar","Hombre",3025,0,0
4303.34912109375,1587717,73,"Empleada doméstica, niñera,   dama de compañía, camarera","Empleado doméstico;","No universidad","Cotiza",254,"formal",40,0,11,"Urban","primary complete (5)","Otra cosa",96,0,"self-employed","Poblacion en edad de trabajar","Mujer",5329,73,5329
4861.111328125,1e+06,51,"Pintor de edificaciones, de   automóviles, mezclador de pinturas","Obrero o empleado de empresa particular;","No universidad","No cotiza",259,"informal",48,1,11,"Urban","secondary incomplete (6-10)","Otra cosa",60,0,"2-5 workers","Poblacion en edad de trabajar","Hombre",2601,0,0
4290.0458984375,882523.666666667,47,"Manipulación de mercancía y   movimiento de tierras – Estibadores, cargadores, empacadores, empalmador de   cables, conductor de grúa, operarios de maquinaria pesada","Obrero o empleado de empresa particular;","Universidad","Cotiza",208,"formal",48,0,11,"Urban","secondary complete (11)","Otra cosa",108,0,">50","Poblacion en edad de trabajar","Mujer",2209,47,2209
6341.64990234375,1237140,29,"Almacenistas, bodegueros,   auxiliar administrativo, recepcionistas, empleados de oficinas de viajes,   empleados de biblioteca y archivo, auxiliar de importaciones, exportaciones,   tramitador de documentos, auxiliar de seguros varios, de vida y   automotores","Obrero o empleado de empresa particular;","Universidad","Cotiza",208,"formal",40,0,11,"Urban","secondary complete (11)","Otra cosa",14,0,"11-50","Poblacion en edad de trabajar","Mujer",841,29,841
2883.50732421875,1551473.33333333,25,"Empleada doméstica, niñera,   dama de compañía, camarera","Empleado doméstico;","Universidad","Cotiza",268,"formal",60,0,11,"Urban","secondary complete (11)","Otra cosa",48,0,"self-employed","Poblacion en edad de trabajar","Mujer",625,25,625
4545.94921875,935166.666666667,24,"Bomberos, agentes de   policía, detective público y privado, vigilante, guardián de prisiones","Obrero o empleado de empresa particular;","Universidad","Cotiza",214,"formal",48,0,11,"Urban","secondary complete (11)","Otra cosa",24,0,">50","Poblacion en edad de trabajar","Mujer",576,24,576
4575.11572265625,941166.666666667,27,"Bomberos, agentes de   policía, detective público y privado, vigilante, guardián de prisiones","Obrero o empleado de empresa particular;","Universidad","Cotiza",214,"formal",48,1,11,"Urban","secondary complete (11)","Otra cosa",24,0,">50","Poblacion en edad de trabajar","Hombre",729,0,0
46547.84375,11177083.3333333,52,"Arquitectos – Ingenieros   (civil, eléctrico, electrónico, mecánico, químico, metalúrgicos, minas e   industrial)","Obrero o empleado del gobierno;","No universidad","Cotiza",214,"formal",45,1,11,"Urban","terciary","Otra cosa",174,0,">50","Poblacion en edad de trabajar","Hombre",2704,0,0
